Research_Component,Result
Training observations,658
Untouched test observations,114
Original predictors,58
SHAP-selected predictors,47
SP-XGBoost CV ROC-AUC,0.6182
SP-XGBoost test ROC-AUC,0.5616
SP-XGBoost accuracy,0.6404
SP-XGBoost precision,0.3214
SP-XGBoost recall,0.2903
SP-XGBoost F1,0.3051
Brier score,0.2641
Operational early-warning threshold,0.1
Early-warning recall,0.7419
Best baseline by CV ROC-AUC,Random Forest
Best baseline CV ROC-AUC,0.9223885710249348
Best baseline by test ROC-AUC,SVM
Best baseline test ROC-AUC,0.6369996113486203
Top SHAP predictor,GPA_S1
Strongest SHAP interaction,CA_AVG × ATT_RATE
CV-Test ROC-AUC gap,0.056599999999999984
